N,종목명,현재가,전일비,등락률,액면가,매출액,자산총계,영업이익
31.0,LG생활건강,693000.0,2000.0,+0.29%,5000.0,80915.0,75552.0,12896.0
32.0,두산에너빌리티,16620.0,90.0,+0.54%,5000.0,112836.0,237205.0,8779.0
33.0,엔씨소프트,469000.0,10500.0,+2.29%,500.0,23088.0,45819.0,3752.0
34.0,SK텔레콤,46300.0,150.0,+0.33%,100.0,167486.0,309113.0,13872.0
35.0,S-Oil,88600.0,500.0,+0.57%,2500.0,274639.0,186932.0,21409.0
36.0,현대중공업,111300.0,0.0,0.00%,5000.0,83113.0,150787.0,-8003.0
37.0,삼성에스디에스,124600.0,800.0,-0.64%,500.0,136300.0,105174.0,8081.0
38.0,삼성화재,203000.0,5000.0,-2.40%,500.0,244443.0,949340.0,15069.0
39.0,우리금융지주,12590.0,210.0,-1.64%,5000.0,271910.0,4471839.0,36597.0
40.0,KT,34750.0,250.0,+0.72%,5000.0,248980.0,371593.0,16718.0
41.0,크래프톤,183500.0,2500.0,+1.38%,100.0,18863.0,56351.0,6396.0
42.0,한화솔루션,46800.0,750.0,+1.63%,5000.0,107252.0,200076.0,7383.0
43.0,대한항공,24050.0,300.0,-1.23%,5000.0,90168.0,266719.0,14180.0
44.0,아모레퍼시픽,151200.0,9800.0,+6.93%,500.0,48631.0,61167.0,3434.0
45.0,카카오페이,63200.0,1800.0,+2.93%,500.0,4586.0,34327.0,-272.0
46.0,기업은행,10090.0,210.0,-2.04%,5000.0,174917.0,3980719.0,32313.0
47.0,하이브,188300.0,1200.0,-0.63%,500.0,12559.0,47289.0,1902.0
48.0,LG이노텍,278500.0,6500.0,+2.39%,5000.0,149456.0,77414.0,12642.0
49.0,현대글로비스,165900.0,300.0,+0.18%,500.0,217796.0,121709.0,11262.0
50.0,롯데케미칼,179400.0,300.0,-0.17%,5000.0,181205.0,228700.0,15356.0
51.0,SK바이오사이언스,79000.0,2000.0,+2.60%,500.0,9290.0,21101.0,4742.0
52.0,F&F,153200.0,2200.0,+1.46%,100.0,10892.0,11465.0,3227.0
53.0,SK바이오팜,73300.0,1700.0,+2.37%,500.0,4186.0,6437.0,950.0
54.0,메리츠화재,51600.0,0.0,0.00%,500.0,118614.0,276890.0,9076.0
55.0,한국조선해양,79800.0,400.0,-0.50%,5000.0,154934.0,272931.0,-13848.0
56.0,KODEX 200,32885.0,380.0,+1.17%,0.0,,,
57.0,메리츠금융지주,42700.0,1250.0,-2.84%,500.0,356499.0,820309.0,18006.0
58.0,넷마블,62200.0,900.0,+1.47%,100.0,25069.0,106638.0,1510.0
59.0,SK스퀘어,37250.0,300.0,+0.81%,100.0,11464.0,226391.0,4198.0
60.0,SK아이이테크놀로지,73200.0,5300.0,+7.81%,1000.0,6038.0,31845.0,892.0
61.0,CJ제일제당,343000.0,1000.0,-0.29%,5000.0,262892.0,268558.0,15244.0
62.0,삼성중공업,5840.0,30.0,-0.51%,1000.0,66220.0,121386.0,-13120.0
63.0,삼성엔지니어링,25800.0,650.0,-2.46%,5000.0,74867.0,60587.0,5033.0
64.0,LG디스플레이,13960.0,150.0,+1.09%,5000.0,298780.0,381545.0,22306.0
65.0,한온시스템,9240.0,120.0,-1.28%,100.0,73514.0,82337.0,3258.0
66.0,맥쿼리인프라,12120.0,110.0,+0.92%,0.0,,,
67.0,TIGER CD금리투자KIS(합성),51860.0,10.0,+0.02%,0.0,,,
68.0,강원랜드,22850.0,300.0,-1.30%,500.0,7884.0,38273.0,-527.0
69.0,LG유플러스,11030.0,40.0,+0.36%,5000.0,138511.0,193705.0,9790.0
70.0,HD현대,60800.0,500.0,-0.82%,1000.0,281587.0,358157.0,10854.0
71.0,오리온,120600.0,4700.0,-3.75%,500.0,23555.0,31204.0,3729.0
72.0,한국항공우주,48200.0,300.0,-0.62%,5000.0,25623.0,58552.0,583.0
73.0,DB손해보험,64500.0,2700.0,-4.02%,500.0,208806.0,647516.0,11084.0
74.0,현대제철,34150.0,600.0,-1.73%,5000.0,228499.0,370423.0,24475.0
75.0,미래에셋증권,6990.0,20.0,+0.29%,5000.0,131448.0,1086418.0,14855.0
76.0,금호석유,145800.0,1800.0,-1.22%,5000.0,84618.0,81157.0,24068.0
77.0,현대건설,37700.0,250.0,-0.66%,5000.0,180655.0,196373.0,7535.0
78.0,한국타이어앤테크놀로지,33400.0,100.0,-0.30%,500.0,71411.0,117039.0,6422.0
79.0,유한양행,53600.0,300.0,+0.56%,1000.0,16878.0,24638.0,486.0
80.0,포스코인터내셔널,23350.0,400.0,-1.68%,5000.0,339489.0,107707.0,5854.0
81.0,코웨이,55500.0,300.0,-0.54%,500.0,36643.0,38006.0,6402.0
82.0,GS,43900.0,700.0,-1.57%,5000.0,202401.0,311913.0,26403.0
83.0,메리츠증권,6620.0,20.0,-0.30%,1000.0,232474.0,541082.0,9489.0
84.0,한화에어로스페이스,80300.0,500.0,-0.62%,5000.0,64151.0,110458.0,3830.0
85.0,SKC,99100.0,1700.0,+1.75%,5000.0,33961.0,61801.0,4647.0
86.0,아모레G,43150.0,3250.0,+8.15%,500.0,53261.0,80381.0,3562.0
87.0,삼성카드,30650.0,50.0,-0.16%,5000.0,35881.0,271442.0,7493.0
88.0,두산밥캣,35050.0,300.0,+0.86%,500.0,58162.0,85809.0,5953.0
89.0,한국금융지주,62800.0,600.0,+0.96%,5000.0,137861.0,820366.0,15210.0
90.0,한미약품,274000.0,11000.0,+4.18%,2500.0,12032.0,19367.0,1254.0
91.0,롯데지주,31850.0,300.0,-0.93%,200.0,99249.0,199219.0,2164.0
92.0,팬오션,6250.0,90.0,-1.42%,1000.0,46161.0,64888.0,5729.0
93.0,BGF리테일,189900.0,4800.0,+2.59%,1000.0,67812.0,25964.0,1994.0
94.0,현대미포조선,79900.0,700.0,-0.87%,5000.0,28872.0,38783.0,-2173.0
95.0,KODEX KOFR금리액티브(합성),101990.0,10.0,+0.01%,0.0,,,
96.0,현대차2우B,86900.0,300.0,-0.34%,5000.0,,,
97.0,TIGER 차이나전기차SOLACTIVE,12820.0,90.0,-0.70%,0.0,,,
98.0,현대오토에버,115400.0,1200.0,-1.03%,500.0,20704.0,23461.0,961.0
99.0,호텔신라,80400.0,400.0,+0.50%,5000.0,37791.0,26564.0,1188.0
100.0,NH투자증권,9320.0,20.0,-0.21%,5000.0,107622.0,585420.0,12939.0
101.0,현대로템,28350.0,200.0,+0.71%,5000.0,28725.0,41072.0,802.0
102.0,삼성증권,34350.0,200.0,+0.59%,5000.0,98095.0,657075.0,13087.0
103.0,에스디바이오센서,29300.0,400.0,+1.38%,500.0,29300.0,30051.0,13640.0
104.0,일진머티리얼즈,65600.0,1700.0,+2.66%,500.0,6889.0,17536.0,699.0
105.0,한국가스공사,32500.0,900.0,-2.69%,5000.0,275208.0,436699.0,12397.0
106.0,GS리테일,28650.0,500.0,+1.78%,1000.0,97657.0,94560.0,2085.0
107.0,쌍용C&E,5740.0,20.0,-0.35%,100.0,16614.0,35648.0,2487.0
108.0,이마트,103100.0,800.0,-0.77%,5000.0,249327.0,312421.0,3168.0
109.0,씨에스윈드,66800.0,300.0,+0.45%,500.0,12034.0,17739.0,1010.0
110.0,한진칼,41500.0,550.0,+1.34%,2500.0,3953.0,37547.0,-1952.0
111.0,현대해상,30000.0,800.0,-2.60%,500.0,188422.0,528180.0,6393.0
112.0,키움증권,102000.0,1600.0,+1.59%,5000.0,58662.0,453011.0,12089.0
113.0,롯데쇼핑,93700.0,600.0,-0.64%,5000.0,155736.0,334265.0,2076.0
114.0,한화시스템,13990.0,530.0,+3.94%,5000.0,20895.0,38943.0,1120.0
115.0,KODEX 종합채권(AA-이상)액티브,105000.0,270.0,+0.26%,0.0,,,
116.0,대우조선해양,23450.0,50.0,-0.21%,5000.0,44866.0,106232.0,-17547.0
117.0,한전기술,65500.0,500.0,-0.76%,200.0,4331.0,7055.0,101.0
118.0,KODEX 200선물인버스2X,2780.0,65.0,-2.28%,0.0,,,
119.0,CJ,82700.0,200.0,-0.24%,5000.0,344840.0,419560.0,18818.0
120.0,한솔케미칼,210000.0,1000.0,+0.48%,5000.0,7687.0,11972.0,1977.0
121.0,제일기획,20600.0,400.0,-1.90%,200.0,33257.0,25421.0,2482.0
122.0,휠라홀딩스,38900.0,250.0,-0.64%,1000.0,37940.0,42889.0,4929.0
123.0,LG화학우,301500.0,8500.0,-2.74%,5000.0,,,
124.0,서울가스,463500.0,12500.0,-2.63%,5000.0,12778.0,16626.0,-49.0
125.0,동원산업,45900.0,250.0,+0.55%,1000.0,28022.0,30519.0,2607.0
126.0,한화생명,2595.0,130.0,-4.77%,5000.0,271736.0,1635914.0,13520.0
127.0,TIGER MSCI Korea TR,13635.0,160.0,+1.19%,0.0,,,
128.0,신세계,228000.0,1000.0,-0.44%,5000.0,63164.0,136445.0,5174.0
129.0,BNK금융지주,6880.0,200.0,-2.82%,5000.0,55807.0,1282870.0,10920.0
130.0,OCI,93200.0,2800.0,+3.10%,5000.0,32440.0,57041.0,6260.0
131.0,에스원,58400.0,900.0,+1.57%,500.0,23125.0,19730.0,1797.0
132.0,한미사이언스,31700.0,1300.0,+4.28%,500.0,9502.0,9499.0,589.0
133.0,두산퓨얼셀,33550.0,0.0,0.00%,100.0,3814.0,6989.0,180.0
134.0,LS,66800.0,900.0,-1.33%,5000.0,130891.0,126259.0,5837.0
135.0,현대차우,87400.0,300.0,-0.34%,5000.0,,,
136.0,KCC,238500.0,6000.0,+2.58%,5000.0,58749.0,128789.0,3888.0
137.0,HL만도,44900.0,450.0,-0.99%,1000.0,61474.0,57044.0,2323.0
138.0,KODEX 200TR,11060.0,120.0,+1.10%,0.0,,,
139.0,한화,27950.0,250.0,-0.89%,5000.0,528361.0,2023664.0,29279.0
140.0,DB하이텍,46700.0,1750.0,+3.89%,5000.0,12147.0,15499.0,3991.0
141.0,동서,20750.0,50.0,-0.24%,500.0,5353.0,15826.0,384.0
142.0,CJ대한통운,90600.0,500.0,+0.55%,5000.0,113437.0,89939.0,3439.0
143.0,TIGER 미국나스닥100,68080.0,1675.0,+2.52%,0.0,,,
144.0,KODEX 레버리지,15800.0,375.0,+2.43%,0.0,,,
145.0,대한전선,1617.0,14.0,+0.87%,100.0,19977.0,14209.0,395.0
146.0,농심,330000.0,6000.0,-1.79%,5000.0,26630.0,28999.0,1061.0
147.0,GS건설,23200.0,100.0,+0.43%,5000.0,90366.0,151837.0,6465.0
148.0,영원무역,43400.0,0.0,0.00%,500.0,27925.0,35476.0,4425.0
149.0,대우건설,4620.0,5.0,+0.11%,5000.0,86852.0,104580.0,7383.0
150.0,삼천리,471500.0,11000.0,-2.28%,5000.0,37633.0,42453.0,700.0
151.0,코스모신소재,61800.0,500.0,+0.82%,1000.0,3059.0,3485.0,218.0
152.0,효성티앤씨,437000.0,5000.0,+1.16%,5000.0,85960.0,45265.0,14237.0
153.0,대성홀딩스,117000.0,3800.0,-3.15%,1000.0,9405.0,12440.0,213.0
154.0,TIGER 200,32910.0,400.0,+1.23%,0.0,,,
155.0,오뚜기,467500.0,2500.0,-0.53%,5000.0,27390.0,26058.0,1666.0
156.0,JB금융지주,9370.0,210.0,-2.19%,5000.0,25415.0,563956.0,7083.0
157.0,하이트진로,26050.0,50.0,+0.19%,5000.0,22029.0,36311.0,1741.0
158.0,효성첨단소재,400500.0,17000.0,+4.43%,5000.0,35978.0,29087.0,4373.0
159.0,LIG넥스원,81000.0,0.0,0.00%,5000.0,18222.0,25768.0,972.0
160.0,대웅제약,150600.0,900.0,-0.59%,2500.0,11530.0,14152.0,889.0
161.0,TIGER 미국S&P500,12620.0,90.0,+0.72%,0.0,,,
162.0,쌍용차,8760.0,0.0,0.00%,5000.0,24293.0,18630.0,-2613.0
163.0,녹십자,135700.0,4000.0,+3.04%,5000.0,15378.0,24621.0,737.0
164.0,TIGER 미국필라델피아반도체나스닥,10000.0,400.0,+4.17%,0.0,,,
165.0,한전KPS,34400.0,50.0,+0.15%,200.0,13806.0,14269.0,1240.0
166.0,금양,26400.0,300.0,+1.15%,500.0,2177.0,3148.0,121.0
167.0,두산,90600.0,200.0,+0.22%,5000.0,132042.0,260099.0,9459.0
168.0,SK케미칼,85900.0,2000.0,+2.38%,5000.0,20896.0,39556.0,5552.0
169.0,롯데정밀화학,57100.0,100.0,-0.17%,5000.0,17803.0,27235.0,2445.0
170.0,LS ELECTRIC,49000.0,600.0,+1.24%,5000.0,26683.0,27967.0,1551.0
171.0,현대백화점,62600.0,100.0,-0.16%,5000.0,35724.0,89692.0,2644.0
172.0,현대두산인프라코어,7400.0,20.0,+0.27%,1000.0,45937.0,47823.0,2645.0
173.0,효성,69400.0,1400.0,-1.98%,5000.0,35389.0,52579.0,6406.0
174.0,현대위아,53600.0,600.0,+1.13%,5000.0,75277.0,77495.0,1027.0
175.0,현대일렉트릭,40300.0,750.0,+1.90%,5000.0,18060.0,22150.0,97.0
176.0,DL이앤씨,37500.0,750.0,-1.96%,5000.0,76317.0,87017.0,9573.0
177.0,솔루스첨단소재,40700.0,1250.0,+3.17%,100.0,3812.0,10116.0,20.0
178.0,TIGER 미국테크TOP10 INDXX,9380.0,360.0,+3.99%,0.0,,,
179.0,롯데칠성,152700.0,3000.0,-1.93%,500.0,25061.0,35968.0,1822.0
180.0,한미반도체,14470.0,270.0,+1.90%,100.0,3732.0,4293.0,1224.0
181.0,LX인터내셔널,34600.0,550.0,-1.56%,5000.0,166865.0,67469.0,6562.0
182.0,TIGER 2차전지테마,20345.0,485.0,+2.44%,0.0,,,
183.0,LX세미콘,81100.0,1600.0,+2.01%,500.0,18988.0,11725.0,3696.0
184.0,KODEX 2차전지산업,21785.0,430.0,+2.01%,0.0,,,
185.0,DGB금융지주,7620.0,170.0,-2.18%,5000.0,51957.0,859060.0,7486.0
186.0,동국제강,13500.0,50.0,-0.37%,5000.0,72403.0,63341.0,8030.0
187.0,한국앤컴퍼니,13530.0,240.0,-1.74%,500.0,9633.0,40812.0,2283.0
188.0,제주항공,16580.0,100.0,+0.61%,1000.0,2731.0,12668.0,-3172.0
189.0,KODEX 삼성그룹,9275.0,40.0,+0.43%,0.0,,,
190.0,KBSTAR 200,33085.0,370.0,+1.13%,0.0,,,
191.0,DL,59800.0,1400.0,-2.29%,5000.0,23854.0,83230.0,2219.0
192.0,코오롱인더,45450.0,200.0,+0.44%,5000.0,46621.0,56013.0,2527.0
193.0,덴티움,112700.0,1800.0,-1.57%,500.0,2915.0,5702.0,699.0
194.0,한샘,52700.0,600.0,+1.15%,1000.0,22312.0,12464.0,693.0
195.0,동원시스템즈,42750.0,200.0,-0.47%,5000.0,12509.0,14920.0,900.0
196.0,대웅,21200.0,500.0,-2.30%,500.0,15114.0,19337.0,1826.0
197.0,일진하이솔루스,33900.0,750.0,+2.26%,500.0,1177.0,3435.0,98.0
198.0,GKL,19760.0,540.0,-2.66%,500.0,851.0,5313.0,-1458.0
199.0,에스엘,26200.0,100.0,-0.38%,500.0,30011.0,25675.0,1105.0
200.0,후성,12870.0,130.0,+1.02%,500.0,3813.0,6163.0,581.0
201.0,현대엘리베이,29300.0,850.0,-2.82%,5000.0,19734.0,29874.0,1290.0
202.0,영풍,630000.0,4000.0,+0.64%,5000.0,35821.0,55210.0,-268.0
203.0,신풍제약,21700.0,450.0,+2.12%,500.0,1892.0,3926.0,-143.0
204.0,F&F홀딩스,29200.0,100.0,+0.34%,500.0,7271.0,29123.0,2231.0
205.0,KODEX 단기채권PLUS,105555.0,35.0,+0.03%,0.0,,,
206.0,솔루엠,22450.0,400.0,+1.81%,500.0,11533.0,7109.0,265.0
207.0,롯데제과,118900.0,2100.0,-1.74%,500.0,21454.0,26666.0,1085.0
208.0,SK가스,120800.0,100.0,+0.08%,5000.0,64945.0,51215.0,1055.0
209.0,아시아나항공,14960.0,330.0,-2.16%,5000.0,43397.0,130827.0,932.0
210.0,현대건설기계,56400.0,1200.0,+2.17%,5000.0,32843.0,35543.0,1607.0
211.0,TIGER TOP10,10740.0,180.0,+1.70%,0.0,,,
212.0,대덕전자,22250.0,450.0,+2.06%,500.0,10009.0,9410.0,725.0
213.0,KODEX 코스닥150레버리지,7500.0,350.0,+4.90%,0.0,,,
214.0,대한유화,167300.0,2300.0,+1.39%,5000.0,25149.0,24789.0,1794.0
215.0,아이에스동서,34800.0,50.0,-0.14%,500.0,16084.0,35098.0,3108.0
216.0,코리안리,7550.0,190.0,-2.45%,500.0,109155.0,131157.0,2035.0
217.0,더존비즈온,34700.0,50.0,+0.14%,500.0,3187.0,9003.0,712.0
218.0,TIGER 단기통안채,102445.0,45.0,+0.04%,0.0,,,
219.0,종근당,83600.0,2200.0,+2.70%,2500.0,13436.0,10467.0,948.0
220.0,다우기술,23400.0,450.0,-1.89%,500.0,60870.0,463224.0,12572.0
221.0,SK리츠,5330.0,110.0,+2.11%,500.0,242.0,24081.0,184.0
222.0,롯데렌탈,28300.0,350.0,+1.25%,5000.0,24227.0,61250.0,2455.0
223.0,NHN,28650.0,50.0,-0.17%,500.0,19237.0,30272.0,979.0
224.0,하나투어,63900.0,300.0,+0.47%,500.0,403.0,4306.0,-1273.0
225.0,한국콜마,44400.0,750.0,+1.72%,500.0,15863.0,26060.0,843.0
226.0,PI첨단소재,34500.0,300.0,+0.88%,500.0,3019.0,4730.0,759.0
227.0,율촌화학,40750.0,400.0,+0.99%,500.0,5387.0,6667.0,110.0
228.0,SK네트웍스,4045.0,20.0,-0.49%,2500.0,110181.0,94109.0,1220.0
229.0,풍산,35700.0,350.0,-0.97%,5000.0,35095.0,31483.0,3141.0
230.0,롯데관광개발,13710.0,160.0,-1.15%,500.0,1071.0,13024.0,-1313.0
231.0,롯데리츠,4115.0,60.0,+1.48%,500.0,575.0,23926.0,337.0
232.0,오리온홀딩스,15380.0,70.0,-0.45%,500.0,24151.0,49618.0,3157.0
233.0,KODEX Top5PlusTR,16155.0,205.0,+1.29%,0.0,,,
234.0,KODEX 23-12 은행채(AA+이상)액티브,10195.0,5.0,+0.05%,0.0,,,
235.0,세방,49050.0,750.0,-1.51%,500.0,10577.0,12453.0,292.0
236.0,CJ CGV,19350.0,90.0,+0.47%,500.0,7363.0,37855.0,-2414.0
237.0,금호타이어,3195.0,20.0,+0.63%,5000.0,26012.0,43422.0,-415.0
238.0,제이알글로벌리츠,4615.0,105.0,+2.33%,1000.0,491.0,20049.0,241.0
239.0,진에어,17410.0,80.0,-0.46%,1000.0,2472.0,6016.0,-1853.0
240.0,명신산업,17320.0,170.0,+0.99%,500.0,11077.0,7195.0,565.0
241.0,신세계인터내셔날,25200.0,500.0,+2.02%,1000.0,14508.0,11591.0,920.0
242.0,삼양식품,119400.0,1000.0,-0.83%,5000.0,6420.0,7531.0,654.0
243.0,ESR켄달스퀘어리츠,4220.0,100.0,+2.43%,1000.0,467.0,22680.0,238.0
244.0,더블유게임즈,48900.0,500.0,+1.03%,500.0,6241.0,13819.0,1904.0
245.0,코스맥스,78500.0,100.0,+0.13%,500.0,15915.0,14119.0,1226.0
246.0,이노션,44250.0,600.0,-1.34%,500.0,15020.0,22016.0,1357.0
247.0,바이오노트,8670.0,10.0,+0.12%,500.0,6224.0,14833.0,4701.0
248.0,KODEX MSCI Korea TR,10875.0,150.0,+1.40%,0.0,,,
249.0,한올바이오파마,16860.0,130.0,+0.78%,500.0,1016.0,1985.0,101.0
250.0,KODEX 인버스,4670.0,55.0,-1.16%,0.0,,,
251.0,KG스틸,8440.0,130.0,+1.56%,5000.0,33548.0,27711.0,2969.0
252.0,한일시멘트,11920.0,50.0,+0.42%,500.0,12719.0,23703.0,1204.0
253.0,코스모화학,23550.0,200.0,+0.86%,1000.0,5126.0,6813.0,305.0
254.0,녹십자홀딩스,17530.0,350.0,+2.04%,500.0,18406.0,34968.0,862.0
255.0,미원상사,169600.0,3600.0,+2.17%,500.0,3598.0,3724.0,572.0
256.0,태광산업,736000.0,1000.0,-0.14%,5000.0,25918.0,49238.0,3553.0
257.0,영원무역홀딩스,59400.0,1400.0,-2.30%,500.0,32405.0,43256.0,5705.0
258.0,한화투자증권,3735.0,40.0,+1.08%,5000.0,19115.0,117910.0,2088.0
259.0,TKG휴켐스,19520.0,30.0,-0.15%,1000.0,8612.0,9493.0,934.0
260.0,KBSTAR KIS종합채권(A-이상)액티브,97410.0,305.0,+0.31%,0.0,,,
261.0,LG전자우,45200.0,0.0,0.00%,5000.0,,,
262.0,KODEX 단기채권,104940.0,30.0,+0.03%,0.0,,,
263.0,우리종금,872.0,31.0,+3.69%,500.0,3033.0,51597.0,1040.0
264.0,대한해운,2350.0,20.0,-0.84%,500.0,11538.0,38597.0,2039.0
265.0,TIGER 200 IT,30235.0,595.0,+2.01%,0.0,,,
266.0,동양생명,4615.0,85.0,-1.81%,5000.0,63476.0,371033.0,3322.0
267.0,지누스,39150.0,1350.0,+3.57%,500.0,11238.0,10186.0,743.0
268.0,대상,21150.0,50.0,-0.24%,1000.0,34700.0,28705.0,1532.0
269.0,HDC현대산업개발,11060.0,40.0,+0.36%,5000.0,33639.0,65664.0,2734.0
270.0,현대그린푸드,7310.0,10.0,+0.14%,500.0,34861.0,31100.0,586.0
271.0,미원에스씨,139900.0,500.0,+0.36%,500.0,5313.0,4381.0,950.0
272.0,대신증권,13950.0,300.0,-2.11%,5000.0,36353.0,227632.0,8855.0
273.0,일동제약,26050.0,250.0,+0.97%,1000.0,5601.0,7090.0,-555.0
274.0,ARIRANG 200,33595.0,420.0,+1.27%,0.0,,,
275.0,해성디에스,40650.0,250.0,+0.62%,5000.0,6554.0,4749.0,863.0
276.0,넥센타이어,6950.0,40.0,+0.58%,500.0,20794.0,38234.0,44.0
277.0,LX홀딩스,8890.0,40.0,+0.45%,1000.0,1858.0,14425.0,1472.0
278.0,보령,9850.0,240.0,+2.50%,500.0,6273.0,8286.0,414.0
279.0,케이카,14060.0,940.0,+7.16%,500.0,19024.0,5500.0,711.0
280.0,쿠쿠홈시스,29950.0,50.0,+0.17%,100.0,8932.0,9694.0,1786.0
281.0,한섬,27250.0,150.0,+0.55%,500.0,13874.0,15571.0,1522.0
282.0,영진약품,3665.0,45.0,+1.24%,500.0,1961.0,1941.0,-139.0
283.0,세방전지,47850.0,350.0,-0.73%,500.0,13520.0,16844.0,997.0
284.0,SNT모티브,45800.0,100.0,+0.22%,5000.0,9417.0,11498.0,916.0
285.0,드림텍,9930.0,270.0,+2.80%,100.0,12316.0,7330.0,961.0
286.0,현대홈쇼핑,55400.0,700.0,-1.25%,5000.0,22099.0,26003.0,1285.0
287.0,부광약품,9340.0,100.0,+1.08%,500.0,1825.0,3974.0,56.0
288.0,진원생명과학,8430.0,10.0,-0.12%,1000.0,387.0,2495.0,-275.0
289.0,화승엔터프라이즈,10730.0,480.0,+4.68%,500.0,11386.0,13303.0,71.0
290.0,동원F&B,168400.0,4700.0,+2.87%,5000.0,34906.0,19357.0,1304.0
291.0,한세실업,16210.0,110.0,+0.68%,500.0,16720.0,12162.0,1067.0
292.0,효성중공업,69500.0,600.0,-0.86%,5000.0,30947.0,40227.0,1201.0
293.0,쏘카,19790.0,410.0,-2.03%,100.0,2890.0,4332.0,-210.0
294.0,파미셀,10700.0,100.0,+0.94%,500.0,509.0,958.0,76.0
295.0,DN오토모티브,64000.0,700.0,-1.08%,500.0,9308.0,14850.0,896.0
296.0,세아제강지주,153200.0,7300.0,-4.55%,5000.0,28417.0,28990.0,2990.0
297.0,동아쏘시오홀딩스,99500.0,1000.0,-1.00%,5000.0,8819.0,16914.0,616.0
298.0,LG생활건강우,297000.0,0.0,0.00%,5000.0,,,
299.0,KCC글라스,39000.0,350.0,-0.89%,1000.0,11757.0,18779.0,1605.0
300.0,삼양홀딩스,72500.0,400.0,+0.55%,5000.0,31073.0,44606.0,3517.0
301.0,유안타증권,3100.0,250.0,+8.77%,5000.0,23090.0,147149.0,3214.0
302.0,SPC삼립,71700.0,600.0,-0.83%,5000.0,29467.0,12230.0,662.0
303.0,KBSTAR 단기통안채,106775.0,55.0,+0.05%,0.0,,,
304.0,SK디스커버리,31950.0,200.0,-0.62%,5000.0,66143.0,68819.0,744.0
305.0,KODEX 코스닥150,10705.0,255.0,+2.44%,0.0,,,
306.0,SBS,33200.0,150.0,+0.45%,5000.0,10790.0,14621.0,1844.0
307.0,현대에너지솔루션,53900.0,2300.0,+4.46%,5000.0,5932.0,6056.0,95.0
308.0,KODEX 자동차,16880.0,25.0,-0.15%,0.0,,,
309.0,티와이홀딩스,11770.0,30.0,-0.25%,500.0,2952.0,21322.0,112.0
310.0,삼성 인버스 2X 천연가스 선물 ETN C,59715.0,8170.0,+15.85%,0.0,,,
311.0,쿠쿠홀딩스,16420.0,20.0,+0.12%,100.0,6851.0,10709.0,1070.0
312.0,세아베스틸지주,16100.0,100.0,-0.62%,5000.0,36511.0,35260.0,2384.0
313.0,한국단자,55200.0,0.0,0.00%,500.0,9622.0,11252.0,762.0
314.0,자화전자,28350.0,500.0,+1.80%,500.0,3479.0,4379.0,163.0
